id,word,url,pronounce,explanation
40,afiat,https://kbbi.kata.web.id/afiat/,afi.at,sehat: syukurlah engkau dalam keadaan sehat dan afiat
41,afirmatif,https://kbbi.kata.web.id/afirmatif/,afir.ma.tif,bersifat menguatkan atau mengesahkan
42,afotik,https://kbbi.kata.web.id/afotik/,afo.tik,tanpa sinar (msl daerah laut yang dalam atau gua)
43,agam,https://kbbi.kata.web.id/agam/,,tidak ada akhir; larut
44,agamais,https://kbbi.kata.web.id/agamais/,aga.ma.is,agamawi
45,agamawi,https://kbbi.kata.web.id/agamawi/,aga.ma.wi,bersifat agama: bangsa kita adalah bangsa yang agamawi
46,agentif,https://kbbi.kata.web.id/agentif/,agen.tif,istilah linguistik bersifat pelaku; sebagai pelaku
47,agraris,https://kbbi.kata.web.id/agraris/,ag.ra.ris,(1) mengenai pertanian atau tanah pertanian; (2) mengenai pertanian atau cara hidup petani; (3) bersifat pertanian: negeri kita adalah negara agraris
48,agregatif,https://kbbi.kata.web.id/agregatif/,ag.re.ga.tif,bersifat agregasi: pengekangan terhadap kecen-derungan impor harus tetap dilakukan dengan pengendalian permintaan domestik secara agregatif
49,agresif,https://kbbi.kata.web.id/agresif/,ag.re.sif,"(1) bersifat atau bernafsu menyerang; (2) istilah psikologi cenderung (ingin) menyerang sesuatu yang dipandang sebagai hal atau situasi yang mengecewakan, menghalangi, atau menghambat"
50,agresif ofensif,https://kbbi.kata.web.id/agresif-ofensif/,,"bersifat maju dan menyerang dalam suatu kegiatan (ekonomi, politik, olahraga, dan sebagainya) "
51,agung,https://kbbi.kata.web.id/agung/,,besar; mulia; luhur: kita kedatangan tamu agung dari negara tetanggalihat gung
52,ahistoris,https://kbbi.kata.web.id/ahistoris/,ahis.to.ris,berlawanan dengan sejarah: memahami kultur lama tanpa memedulikan aspirasi sejarah yang melahirkannya adalah sikap yang ahistoris
53,ahmak,https://kbbi.kata.web.id/ahmak/,ah.mak,klasik bodoh; kurang pikir: orang ahmak; pikiran yang ahmak
54,ahsan,https://kbbi.kata.web.id/ahsan/,ah.san,lebih baik
55,ajab,https://kbbi.kata.web.id/ajab/,,heranlihat azab
56,akademik,https://kbbi.kata.web.id/akademik/,aka.de.mik,akademis
57,akademis,https://kbbi.kata.web.id/akademis/,aka.de.mis,"(1) mengenai (berhubungan dengan) akademi: soal-soal akademis; (2) bersifat ilmiah; bersifat ilmu pengetahuan; bersifat teori, tanpa arti praktis yang langsung: pelajaran yang diberikan terlalu akademis"
58,akak,https://kbbi.kata.web.id/akak/,,cakapan (tidak baku) kakak
59,akar,https://kbbi.kata.web.id/akar/,,"sama dengan c), berarti cn = a, jadi"
60,akas,https://kbbi.kata.web.id/akas/,,tangkas gerak-geriknya; gesit; cekatan: anak ini akas menarilihat akasa
61,akhlaki,https://kbbi.kata.web.id/akhlaki/,akh.la.ki,(1) memiliki akhlak (budi pekerti); (2) bersifat akhlak
62,akil,https://kbbi.kata.web.id/akil/,,arkais (tidak lazim) berakal; cerdik; pandai
63,akli,https://kbbi.kata.web.id/akli/,ak.li,bersifat akal; berhubungan dengan akal
64,akliah,https://kbbi.kata.web.id/akliah/,ak.li.ah,masuk akal
65,akmal,https://kbbi.kata.web.id/akmal/,ak.mal,amat sempurna; mahasempurna: tuhan yang akmal
66,akomodatif,https://kbbi.kata.web.id/akomodatif/,ako.mo.da.tif,bersifat dapat menyesuaikan diri
67,akseptabel,https://kbbi.kata.web.id/akseptabel/,ak.sep.ta.bel,(1) dapat atau pantas diterima; berterima: usulnya praktis dan akseptabel; (2) cukup; memadai: tarian itu dianggap akseptabel untuk ditampilkan di depan tamu
68,aksiomatis,https://kbbi.kata.web.id/aksiomatis/,ak.si.o.ma.tis,dapat diterima sebagai kebenaran tanpa pembuktian; bersifat aksioma
69,aktinik,https://kbbi.kata.web.id/aktinik/,ak.ti.nik,istilah kimia dihasilkan oleh kerja kimiawi cahaya matahari atau sinar ultraviolet yang serupa
70,akur,https://kbbi.kata.web.id/akur/,,(1) mufakat; setuju; seia sekata; bersatu hati: saya akur saja dengan usulmu; rupanya orang-orang di kampung ini kurang akur; (2) cocok; sesuai: salinan itu sudah akur dengan aslinya
71,akurat,https://kbbi.kata.web.id/akurat/,aku.rat,teliti; saksama; cermat; tepat benar: caranya bekerja sangat akurat; pukulannya yang akurat merepotkan lawan
72,akut,https://kbbi.kata.web.id/akut/,,(1) timbul secara mendadak dan cepat memburuk (tentang penyakit); (2) memerlukan pemecahan segera; mendesak (tentang keadaan atau hal); gawat: penyediaan air bersih menjadi masalah yang akut; (3) kurang dari 90o (tentang sudut): sudut akut
73,alaihi salam,https://kbbi.kata.web.id/alaihi-salam/,alai.hi-sa.lam,"alai.hi sa.lamberasal dari bahasa arab damai padanya (lazim dipakai sesudah menyebutkan nama nabi, kecuali nabi muhammad saw.): nabi sulaiman alaihi salam"
74,alami,https://kbbi.kata.web.id/alami/,ala.mi,bersangkutan dengan alam; bersifat alam; wajar; bakat alami; karet alami
75,alamiah,https://kbbi.kata.web.id/alamiah/,ala.mi.ah,"alami: tanpa dipacu, anak-anak itu akan tumbuh secara alamiah"
76,alang,https://kbbi.kata.web.id/alang/,,"nomina (kata benda) (1) sesuatu yang melintang: ditariknya garis alang; (2) kayu yang dipasang melintang (di antara dua tiang atau dua dinding perahu): alang muka perahu itu terbuat dari kayu yang kuat; (3) dinding penyekat (bilik dan sebagainya) : alang kedai; alang balai; alang rumah (1) sedang; (2) tanggung(-tanggung); setengah-setengah; (3) tengah-tengah: saudara yang alang , bukan bungsu bukan sulungberasal dari bahasa minangkabau nomina (kata benda) hadiah; pemberian"
77,alang-alangan,https://kbbi.kata.web.id/alang-alangan/,alang.an,(1) setengah-setengah; dengan segan-segan (setengah hati): daripada bekerja alang-alangan lebih baik jangan bekerja sama sekali; (2) sedikit sekali; tanggung-tanggung: ia memberinya bukan alang-alangan melainkan terlalu banyak
78,albinoid,https://kbbi.kata.web.id/albinoid/,al.bi.no.id,"(1) mirip bulai; (2) [tern]yang berkulit putih, tidak berpigmen (tentang ternak kerbau, sapi), tetapi tanduk dan kuku berwarna hitam karena masih mengandung pigmen (zat tanduk): kerbau albinoid"
79,albuminuria,https://kbbi.kata.web.id/albuminuria/,al.bu.min.u.ria,"istilah kedokteran terdapatnya albumin dalam air kencing, biasanya berkaitan dengan penyakit ginjal"
80,alegoris,https://kbbi.kata.web.id/alegoris/,ale.go.ris,"bersifat kiasan (perlambangan, ibarat): para mahasiswa menyelenggarakan pawai alegoris"
81,alegreto,https://kbbi.kata.web.id/alegreto/,ale.gre.to,"cukup cepat (tentang irama); lebih cepat daripada andante, tetapi lebih lambat daripada alegro"
82,alegro,https://kbbi.kata.web.id/alegro/,aleg.ro,"istilah musik cepat (tentang irama); lebih cepat daripada alegreto, tetapi tidak secepat presto"
83,alem,https://kbbi.kata.web.id/alem/,alem.an,cakapan (tidak baku) manja; kolokan
84,alergis,https://kbbi.kata.web.id/alergis/,aler.gis,"berkenaan dengan alergi; peka terhadap sesuatu sehingga timbul gangguan kesehatan, rasa tidak enak, dan sebagainya"
85,alfabetis,https://kbbi.kata.web.id/alfabetis/,al.fa.be.tis,(tersusun) menurut abjad
86,alga,https://kbbi.kata.web.id/alga/,al.ga,"tumbuhan berklorofil, berukuran dari beberapa mikron sampai bermeter-meter, hidupnya bergantung pada gerakan air di dalam air tawar atau air laut"
87,alifatik,https://kbbi.kata.web.id/alifatik/,ali.fa.tik,istilah kimia mempunyai susunan atom karbon dalam rantai dan bukan dalam lingkar tertutup (tentang senyawaan)
88,alikuot,https://kbbi.kata.web.id/alikuot/,ali.ku.ot,istilah matematika bertindak atau menjadi faktor bilangan lain
89,alir,https://kbbi.kata.web.id/alir/,meng.a.lir,", v bergerak maju (tentang air, barang cair, udara, dan sebagainya) : air sungai alir ke laut; (2) meleleh (tentang air mata, peluh, dan sebagainya) : air matanya alir membasahi pipinya; (3) kiasan berpindah tempat secara beramai-ramai: penduduk dari daerah yang tidak aman banyak alir ke kota besarnomina (kata benda) pancing dengan umpan hidup untuk menangkap buaya; tali alir; umpan alirberasal dari bahasa minangkabau licin (permukaan)"
90,alisiklik,https://kbbi.kata.web.id/alisiklik/,ali.sik.lik,"istilah kimia mempunyai susunan atom karbon dalam lingkar tertutup, tetapi dengan sifat alifatik (tentang senyawaan)"
91,alit,https://kbbi.kata.web.id/alit/,,"nomina (kata benda) celaknomina (kata benda) peminggir untuk memperkuat bagian tepi sesuatu supaya teguh (msl pada tikar, bakul, kerai)berasal dari bahasa jawa kecil"
92,alkalis,https://kbbi.kata.web.id/alkalis/,al.ka.lis,bersifat alkali: pentotal yang bersifat alkalis akan mengikis pembuluh darah
93,alon,https://kbbi.kata.web.id/alon/,,perlahan-lahan
94,alot,https://kbbi.kata.web.id/alot/,,(1) tidak mudah putus; liat; (2) kiasan tidak lancar; sukar menemukan pemecahan (tentang perundingan dan sebagainya) : perundingan mengenai masalah kamboja ternyata berjalan alot
95,alpa,https://kbbi.kata.web.id/alpa/,al.pa,lalai dalam kewajiban; kurang mengindahkan; kurang memperhatikan; lengah
96,alum,https://kbbi.kata.web.id/alum/,,layu; merana (tentang daun)
97,aluvial,https://kbbi.kata.web.id/aluvial/,alu.vi.al,"berhubungan dengan (terdiri atas atau terdapat di dalam) aluvium (seperti tanah aluvial , berlian aluvial )"
98,amatir-amatiran,https://kbbi.kata.web.id/amatir-amatiran/,ama.tir-ama.tir.an,bukan sesuatu yang sesungguhnya; sifat amatir yang tidak murni
99,ambek paramaarta,https://kbbi.kata.web.id/ambek-paramaarta/,am.bek-pa.ra.ma.ar.ta,sifat mendahulukan yang perlu didahulukan; sifat mengutamakan yang lebih penting untuk didahulukan
100,ambisius,https://kbbi.kata.web.id/ambisius/,am.bi.si.us,"berkeinginan keras mencapai sesuatu (harapan, cita-cita); penuh ambisi: ia sangat ambisius untuk menduduki jabatan itu"
101,ambring,https://kbbi.kata.web.id/ambring/,,tidak keruan (hilang akal dan sebagainya) ; berantakan
102,ambulatori,https://kbbi.kata.web.id/ambulatori/,am.bu.la.to.ri,selalu berpindah; berjalan dari satu tempat ke tempat lain
103,amburadul,https://kbbi.kata.web.id/amburadul/,am.bu.ra.dul,"cakapan (tidak baku) centang perenang; berantakan; porak-poranda: para penghuni di sekitar tempat itu hanya mampu diam dan kesal, tanpa dapat berbuat apa-apa menyaksikan keadaan yang amburadul"
104,amerta,https://kbbi.kata.web.id/amerta/,amer.ta,(1) tidak dapat mati; (2) abadi; (3) tidak terlupakan
105,amfoterik,https://kbbi.kata.web.id/amfoterik/,am.fo.te.rik,istilah kimia sifat dapat bereaksi sebagai asam atau basa
106,ami,https://kbbi.kata.web.id/ami/,,"(1) bersifat kebanyakan; (2) pasaran; tidak baku: bahasa arab ami , bahasa arab pasaranlihat umi"
107,amikal,https://kbbi.kata.web.id/amikal/,ami.kal,bersahabat; akrab; ramah
108,amis,https://kbbi.kata.web.id/amis/,,anyir (berbau seperti bau ikan)
109,amniotik,https://kbbi.kata.web.id/amniotik/,am.ni.o.tik,istilah kedokteran bersangkutan dengan amnion
110,amprung,https://kbbi.kata.web.id/amprung/,,"am.prung, am.prung-am.prung.andialek melayu jakarta (1) selalu tidak sungguh-sungguh; (2) selalu masa bodoh; (3) kurang bertanggung jawab"
111,anakronistis,https://kbbi.kata.web.id/anakronistis/,ana.kro.nis.tis,tidak cocok dengan zaman tertentu
112,anal,https://kbbi.kata.web.id/anal/,,berkaitan dengan anus atau dubur
113,analitis,https://kbbi.kata.web.id/analitis/,ana.li.tis,bersifat (menurut) analisis: kesimpulan ini tidak didasarkan pada pandangan yang analitis
114,analog,https://kbbi.kata.web.id/analog/,ana.log,bersangkutan dg analogi; sama; serupa: masalah suku terasing di indonesia analog dengan masalah suku terasing di filipina dan hawaii
115,anarkistis,https://kbbi.kata.web.id/anarkistis/,anar.kis.tis,bersifat anarki
116,anasional,https://kbbi.kata.web.id/anasional/,ana.si.o.nal,"(1) tidak berwatak (bersifat, berciri) nasional: ilmu jangan digunakan untuk hal-hal yang anasional atau asosial; (2) tidak setia kepada bangsa sendiri (termasuk budaya, produknya, dan sebagainya) "
117,anatomis,https://kbbi.kata.web.id/anatomis/,ana.to.mis,bersifat anatomi: ada alat-alat tertentu pada anak yang mempunyai bentuk dan letak anatomis yang tidak sama dengan orang dewasa
118,andal,https://kbbi.kata.web.id/andal/,an.dal,(1) dapat dipercaya; (2) memberikan hasil yang sama pada ujian atau percobaan yang berulang
119,aneka jenis,https://kbbi.kata.web.id/aneka-jenis/,a.ne.ka-je.nis,berbagai jenis
120,anfas,https://kbbi.kata.web.id/anfas/,an.fas,sangat bernilai tinggi
121,angah,https://kbbi.kata.web.id/angah/,ter.a.ngah,"berasal dari bahasa minangkabau , (1) payah; (2) tercengang (tidak dapat berkata-kata)"
122,angel,https://kbbi.kata.web.id/angel/,,cakapan (tidak baku) susah
123,anggak,https://kbbi.kata.web.id/anggak/,ang.gak,congkak; sombong; angkuh
124,anggara,https://kbbi.kata.web.id/anggara/,ang.ga.ra,arkais (tidak lazim) buas; liar: satwa anggara
125,anggun,https://kbbi.kata.web.id/anggun/,ang.gun,"apik dan berwibawa (tentang bangun, tingkah laku, gaya, dan sebagainya) : apabila berpakaian daerah, wanita itu tampak sangat anggun"
126,angin-angin,https://kbbi.kata.web.id/angin-angin/,,nomina (kata benda) kiasan kabar yang belum tentu kebenarannya; gelagat yang menyatakan bahwa sesuatu akan terjadi: ada angin-angin bahwa ia akan mengundurkan diri; (2) tidak tetap pendiriannya: orang tidak bisa percaya pada orang yang angin-angin ini
127,angit,https://kbbi.kata.web.id/angit/,,berbau seperti kerak terbakar
128,angkara,https://kbbi.kata.web.id/angkara/,ang.ka.ra,loba; tamak
129,angot,https://kbbi.kata.web.id/angot/,,cakapan (tidak baku) (1) sakit lagi; kambuh; (2) sakit gila (mengacau dan sebagainya)
130,angut,https://kbbi.kata.web.id/angut/,meng.a.ngut,(1) tertidur sebentar; terlelap; (2) mengantuk
131,anih,https://kbbi.kata.web.id/anih/,,"istilah kedokteran tawar (berkenaan dengan racun), tidak berdaya; antidotum"
132,aniridia,https://kbbi.kata.web.id/aniridia/,an.i.ri.dia,istilah kedokteran keadaan tidak adanya iris sebagian atau seluruhnya pada mata
133,anisotropis,https://kbbi.kata.web.id/anisotropis/,an.i.so.tro.pis,"istilah fisika keadaan yang memperlihatkan sifat berbeda, seperti kecepatan transmisi cahaya dalam arah yang berbeda"
134,anodonsia,https://kbbi.kata.web.id/anodonsia/,ano.don.sia,"istilah kedokteran tidak terbentuk, dapat mengenai satu gigi atau semua, gigi susu ataupun gigi tetap"
135,anonim,https://kbbi.kata.web.id/anonim/,ano.nim,(1) tanpa nama; tidak beridentitas; awanama; (2) [sos]tidak ada penandatangannya
136,anorganik,https://kbbi.kata.web.id/anorganik/,an.or.ga.nik,"mengenai atau terdiri atas benda selain manusia, tumbuhan, dan hewan; mengenai benda tidak hidup; (2) nistilah kimia elemen yang meliputi air, gas, asam, dan mineral, kecuali karbon"
137,anorgastik,https://kbbi.kata.web.id/anorgastik/,an.or.gas.tik,tidak mengalami orgasme
138,antarmaster,https://kbbi.kata.web.id/antarmaster/,an.tar.mas.ter,antara pemain utama (mewakili berbagai negara): pemain tunggal putra indonesia berhasil menjuarai kejuaraan bulu tangkis antarmaster di inggris
139,antarnegara,https://kbbi.kata.web.id/antarnegara/,an.tar.ne.ga.ra,antara negara yang terdapat dalam lingkungan tertentu
140,antarplanet,https://kbbi.kata.web.id/antarplanet/,an.tar.pla.net,antara planet yang satu dan yang lain
141,antemeridiem,https://kbbi.kata.web.id/antemeridiem/,an.te.me.ri.di.em,sebelum tengah hari
142,anteng,https://kbbi.kata.web.id/anteng/,an.teng,"(1) tenang; diam (tidak menangis, rewel, dan sebagainya tentang anak-anak); (2) tidak banyak tingkah; (3) senang tinggal di rumah (tidak banyak keluar rumah)"
143,anter-anter,https://kbbi.kata.web.id/anter-anter/,an.ter-an.ter,sangat lambat (tentang suara)
144,antik,https://kbbi.kata.web.id/antik/,an.tik,"kuno, tetapi tetap bernilai sebagai hasil karya seni atau benda budaya (tentang barang-barang): koleksi barang antik; (2) nkiasan perilaku, sifat, penampilan, dan sebagainya yang tidak seperti biasanya (tentang orang)"
145,antikarat,https://kbbi.kata.web.id/antikarat/,an.ti.ka.rat,tahan terhadap pelapukan atau pengikisan akibat karat
146,antiklinal,https://kbbi.kata.web.id/antiklinal/,an.ti.kli.nal,istilah geografi dan geologi berkaitan dengan punggung lipatan kulit bumi yang berlapis-lapis
147,antisiklonis,https://kbbi.kata.web.id/antisiklonis/,an.ti.sik.lo.nis,bersifat antisiklon
148,antisipatif,https://kbbi.kata.web.id/antisipatif/,an.ti.si.pa.tif,bersifat tanggap terhadap sesuatu yang sedang (akan) terjadi: iklan makin responsif dan antisipatif terhadap hal-hal yang sedang populer dalam kehidupan masyarakat
149,antroposentris,https://kbbi.kata.web.id/antroposentris/,an.tro.po.sen.tris,"berpusat kepada manusia: humanisme barat menolak dewa, memutuskan hubungan dengan surga, lalu menjadi makhluk antroposentris"
150,anyar,https://kbbi.kata.web.id/anyar/,,baru
151,anyir,https://kbbi.kata.web.id/anyir/,,berbau seperti bau ikan; amis
152,apak,https://kbbi.kata.web.id/apak/,,(1) berbau tidak sedap karena telah lama disimpan dan sudah berjamur: roti yang apak itu belum juga dibuang; (2) berbau tidak sedap karena lapuk
153,apas,https://kbbi.kata.web.id/apas/,,apik; rapi; bagus; indah bentuknya
154,apatis,https://kbbi.kata.web.id/apatis/,apa.tis,acuh tidak acuh; tidak peduli; masa bodoh: kita tidak boleh bersikap apatis terhadap usaha pembangunan pemerintah
155,apes,https://kbbi.kata.web.id/apes/,,celaka; sial; tidak beruntung
156,aplikatif,https://kbbi.kata.web.id/aplikatif/,ap.li.ka.tif,mengenai (berkenaan dengan) penerapan
157,apodal,https://kbbi.kata.web.id/apodal/,apo.dal,(1) bersifat tanpa kaki; (2) bersifat tanpa sirip pinggul seperti pada belut
158,apokaliptik,https://kbbi.kata.web.id/apokaliptik/,apo.ka.lip.tik,bersifat apokalips: agama bergabung dengan rasialisme sehingga menumbuhkan sikap serta perilaku yang apokaliptik
159,apokrin,https://kbbi.kata.web.id/apokrin/,apok.rin,mengenai hilangnya sebagian protoplasma pada waktu bersekresi
160,apokromatik,https://kbbi.kata.web.id/apokromatik/,apo.kro.ma.tik,istilah fisika bebas dari gangguan penyimpangan warna
161,aposisional,https://kbbi.kata.web.id/aposisional/,apo.si.si.o.nal,bersifat sebagai tambahan
162,apositif,https://kbbi.kata.web.id/apositif/,apo.si.tif,bersifat aposisi
163,apresiatif,https://kbbi.kata.web.id/apresiatif/,ap.re.si.a.tif,bersifat apresiasi
164,apriori,https://kbbi.kata.web.id/apriori/,ap.ri.o.ri,"berpraanggapan sebelum mengetahui (melihat, menyelidiki, dan sebagainya) keadaan yang sebenarnya: kita tidak boleh bersikap apriori"
165,aprit-apritan,https://kbbi.kata.web.id/aprit-apritan/,ap.rit-ap.rit.an,dalam keadaan berlari tunggang-langgang; abrit-abritan
166,apuh,https://kbbi.kata.web.id/apuh/,,habis kandungan airnya karena diperas
167,arah,https://kbbi.kata.web.id/arah/,,mirip; serupa; hampir sama dengan: hidungnya arah hidung orang arab
168,arau,https://kbbi.kata.web.id/arau/,,berbintik-bintik; berbelang-belang
169,argumentatif,https://kbbi.kata.web.id/argumentatif/,ar.gu.men.ta.tif,(1) memiliki (mengandung) alasan yang dapat dipakai sebagai bukti: satu-satunya yang dapat meringankan terdakwa hanyalah kesaksian yang argumentatif; (2) karangan yang bertujuan membuktikan pendapat
170,arif,https://kbbi.kata.web.id/arif/,,(1) bijaksana; cerdik dan pandai; berilmu: ia terkenal sebagai orang yang arif; (2) paham; mengerti: tidak mungkin seseorang itu arif akan segala hal
171,arip,https://kbbi.kata.web.id/arip/,,arkais (tidak lazim) sangat mengantuk
172,aristokratis,https://kbbi.kata.web.id/aristokratis/,aris.tok.ra.tis,bersifat aristokrat
173,arkais,https://kbbi.kata.web.id/arkais/,ar.ka.is,"(1) berhubungan dengan masa dahulu atau berciri kuno, tua; (2) tidak lazim dipakai lagi (tentang kata); ketinggalan zaman"
174,arogan,https://kbbi.kata.web.id/arogan/,aro.gan,"(1) sombong; congkak; angkuh; (2) istilah psikologi mempunyai perasaan superioritas yang dimanifestasikan dalam sikap suka memaksa atau pongah: dalam dunia yang penuh manusia arogan dan kepalsuan ini, kemampuan melihat dan merasakan kekuasaan dan kebesaran allah akan menyebabkan seseorang memiliki jiwa besar"
175,aromatik,https://kbbi.kata.web.id/aromatik/,aro.ma.tik,berkenaan dengan atau mempunyai aroma
176,aron,https://kbbi.kata.web.id/aron/,,setengah matang (tentang nasi dan ketan)
177,artetis,https://kbbi.kata.web.id/artetis/,ar.te.tis,bersifat memancar dengan sendirinya (tentang air artesis)
178,artistik,https://kbbi.kata.web.id/artistik/,ar.tis.tik,(1) mempunyai nilai seni; bersifat seni; (2) mempunyai bakat dalam kesenian; mempunyai rasa seni
179,asak,https://kbbi.kata.web.id/asak/,,penuh; padat sesak
180,asal-asalan,https://kbbi.kata.web.id/asal-asalan/,asal.an,sebarang; seenaknya
181,asali,https://kbbi.kata.web.id/asali/,asa.li,(1) bersifat asal; (2) berasal; berbangsa
182,asam,https://kbbi.kata.web.id/asam/,,masam seperti rasa cuka (buah mangga muda dan sebagainya) : asam benar limau ini; (4) akiasan tidak cerah; cemberut; masam: mukanya asam saja sejak pagi; (5) nomina (kata benda) buah asam
183,aseptik,https://kbbi.kata.web.id/aseptik/,asep.tik,bebas dari infeksi
184,asimetris,https://kbbi.kata.web.id/asimetris/,asi.met.ris,tidak setangkup; tidak simetris
185,asimilatif,https://kbbi.kata.web.id/asimilatif/,asi.mi.la.tif,berhubungan dengan asimilasi
186,asin,https://kbbi.kata.web.id/asin/,,berasa garam; masin
187,asiri,https://kbbi.kata.web.id/asiri/,asi.ri,mudah menguap pada temperatur yang relatif rendah
